speciesid | content
242303814 | Rhizome creeping, succulent at growing apex, 0.8-1.3 cm in diam., moderately scaly; scales pale brown, ovate-lanceolate or linear-lanceolate, 3-6(-8) × 0.5-2 mm, thin and soft. Fronds remote, 0.8-1.1 m; stipe ochraceous or amber, 35-50 cm, 3-5 mm in diam., base scaly as rhizome, upward scales spreading, gradually diminishing, scales on distal portion becoming subulate with curved apex; lamina 2(or 3)-pinnate-pinnatifid, yellowish brown when dried, ovate-oblong, 45-55 × 30-40 cm, papery, base cuneate, apex abruptly narrowed and caudate, with a conform terminal pinna, rachis scaly as distal portion of stipe or glabrescent; lateral pinnae (3-)5-8 pairs, alternate, with to 2 cm stalk, obliquely spreading; lowest pinnae linear-lanceolate (or hastate), to 25 × 7 cm, base broadly cuneate, apex acuminate with a caudate tip; (primary) pinnules to 25 pairs, spreading, shortly stalked, rhombic-oblong, to 4 × 1.2 cm, base acroscopically truncate and auriculate, basiscopically cuneate, apex acute or obtuse, aristate, margin pinnatifid and often with basal acroscopic lobe free, lobe apex and its 1-3 marginal teeth aristate, basal basiscopic (primary) pinnule occasionally elongated and pinnate; upper pinnae gradually reduced; terminal pinnae to 20 × 4 cm; axes and veins with sparse minute brown threadlike scales abaxially. Sori terminal on veinlets, 1-7 pairs per ultimate segment, medial between midvein and margin; indusia dark brown, firmly membranous, and entire. 2n = 82.
242303814 | Slopes by streamlets, in forests or bamboos, also in thickets along open places, sometimes on shaded wet rocks or in ravines; below 100-1800 m. Anhui, Chongqing, Fujian, Guangdong, Guangxi, Guizhou, Hunan, Sichuan, Yunnan, Zhejiang [Japan].
200004305 | 云南复叶耳蕨 yun nan fu ye er jue 
200004305 | Polystichum henryi Christ, Notul. Syst. (Paris) 1: 36. 1909; Byrsopteris henryi (Christ) C. V. Morton; Dryopteris henryi (Christ) C. Christensen; Rumohra henryi (Christ) Ching.
200004305 | Rhizome creeping, succulent at growing apex, 3-5 cm in diam., moderately scaly; scales pale brown, ovate-lanceolate or lanceolate, 5-8 × 1-3 mm, apically attenuate or hairlike, margin entire (or remotely denticulate), thin and soft. Fronds remote or approximate, 0.8-1.2(-1.5) m; stipe stramineous, 45-65 cm, 4-6 mm in diam., base scaly as rhizome, upward diminishing to glabrescent; lamina 4(or 5)-pinnate-pinnatifid, shiny green when dried, ovate-deltoid or ovate-oblong, 40-60 × 30-45 cm, thinly herbaceous, base rounded, apex acuminate, rachis glabrescent; stalked pinnae ca. 15 pairs, alternate, (obliquely) spreading; lowest pinnae ovate-deltoid, to 38 × 25 cm, base rounded-cuneate, apex acuminate; primary pinnules ca. 20 pairs, deltoid-lanceolate, basal basiscopic ones slightly elongated, to 18 × 8 cm, base rounded-cuneate, apex acuminate; secondary pinnules to 15 pairs, ovate, to 5 × 3 cm, base rounded, apex obtuse, proximal ones 2-pinnate-pinnatifid in larger fronds; tertiary pinnules ovate-oblong, shortly stalked or sessile, ca. 1.5 × 0.8 cm, base cuneate, apex obtuse, margin deeply pinnatifid (with proximal 1 or 2 pairs of lobes free), lobe sharply dentate, teeth blunt tipped; upper pinnae gradually reduced; axes and veins of ultimate segments occasionally with a few minute brown subulate or hairlike scales abaxially. Sori small, terminal (or subdorsal) on veinlets, 1-3 pairs per ultimate segment, medial between midvein and margin; indusium pale brown, membranous, and entire (or crenulate).
200004305 | Dense woods in valleys, on slopes by streams in forests, sometimes on ridges in montane rain forests; (800-)1000-1500 m. S Yunnan [Myanmar, Thailand, N Vietnam].
242303818 | 湖南复叶耳蕨 hu nan fu ye er jue 
242303818 | Rhizome creeping, succulent at growing apex, ca. 3 cm in diam., densely scaly; scales reddish brown, linear-lanceolate or ovate-lanceolate, ca. 8 × 0.5-2 mm, thin and soft. Fronds remote, 0.7-1.1 cm; stipe stramineous, 40-60 cm, ca. 4 mm in diam., base scaly as rhizome, upward glabrescent; lamina 2(or 3)-pinnate-pinnatifid, lustrous pale green when dried, elliptic or ovate-oblong, 35-50 × 20-25 cm, herbaceous, base cuneate, apex abruptly narrowed and forming an acute terminal pinna, rachis glabrescent; lateral pinnae 4-6(-8) pairs, alternate, with to 1.5 cm stalk, obliquely spreading; lowest pinnae (linear-lanceolate or) lanceolate, 15-18 × 4-4.5 cm, base broadly cuneate, apex acuminate; primary pinnules 15-18 pairs, shortly stalked, spreading, oblong-rhombic, ca. 3.2 × 1.5 cm, base acroscopically truncate and auriculate, basiscopically cuneate, apex acute, margin deeply pinnatifid (with proximal 1 or 2 pairs of lobes free), basal basiscopic primary pinnules occasionally longer and pinnate; ultimate segments with apex acute, margin serrate with cuspidate (or mucronate) teeth; axes and veins of ultimate segments with scattered minute brown threadlike scales abaxially. Sori large, terminal on veinlets, 1-3(-7) pairs per ultimate segment, closer to margin than to midvein; indusia dark brown, firmly membranous, and entire (or ciliate).
242303818 | ● By streams in dense forests in valleys; ca. 800 m. Hunan (Daoxian, Lingxian).
242303818 | Arachniodes hunanensis is similar in frond size and shape to A. ×subamabilis Sa. Kurata, which has been accepted as the name of this species by some authors. However, with limited specimens and without cytological evidence, it cannot be sure whether this is conspecific with the Japanese fern.
250098605 | 缩羽复叶耳蕨 suo yu fu ye er jue 
250098605 | Arachniodes chinensis (Rosenstock) Ching var. japonica Sa. Kurata, J. Geobot. 13: 99. 1965; A. gradata Ching; A. nanqingensis Ching; A. reducta Y. T. Hsieh & Y. P. Wu.
250098605 | Rhizome shortly creeping, stiff, densely scaly; scales dark or reddish brown, linear-lanceolate or subulate, ca. 10 × 0.5-1.5 mm, firmly membranous and spreading, apex threadlike. Fronds contiguous, 65-95 cm; stipe stramineous, 30-50 cm, 2-3 mm in diam., base with scales similar to those on rhizome, upward with sparse appressed brown subulate and remotely denticulate-based scales; lamina 2- or 3-pinnate, green when dried, ovate-oblong, 35-45 × 24-30 cm, thinly or firmly papery, base rounded, apex acuminate, rachis scaly as distal portion of stipe; pinnae 8-10 pairs, alternate or lower 1(-3) pairs opposite, with to 2 cm stalk, (obliquely) spreading, contiguous or imbricate; lowest pinnae deltoid-lanceolate, ca. 17 × 7 cm, base rounded-cuneate, apex (long) acuminate; primary pinnules ca. 17 pairs, shortly stalked, imbricate, basal 1 pair as long as or shorter than distal pairs (ca. 5 × 1.9 cm), lanceolate, base acroscopically truncate, basiscopically cuneate, apex acuminate; secondary pinnules sessile, contiguous, oblong, apex acute or obtuse, margin dentate, aristate; upper pinnae slightly falcate; axes and veins of ultimate segments with dense minute brown subulate and denticulate-based scales abaxially. Sori terminal on ultimate veinlets, 1-6 pairs per ultimate segment, medial between midvein and margin or closer to midvein; indusia brown, membranous, lacerate or denticulate.
250098605 | Forests; 300-800 m. Fujian (Nanjing), S Zhejiang [Japan].
200004306 | 金平复叶耳蕨 jin ping fu ye er jue 
200004306 | Arachniodes attenuata Ching; A. chinensis (Rosenstock) Ching var. jinpingensis (Y. T. Hsieh) S. K. Wu & H. He; A. hekouensis Ching; A. valida Y. T. Hsieh.
200004306 | Rhizome shortly creeping, stiff, densely scaly; scales reddish brown, linear-subulate, ca. 8 × 0.5-1.5 mm, firmly membranous. Fronds approximate, 0.7-1 m; stipe stramineous, 30-45 cm, 3-6 mm in diam., base with scales similar to those on rhizome, upward with appressed (blackish) brown subulate and denticulate-based scales; lamina 3-pinnate, dull greenish when dried, ovate-oblong, 45-56 × 24-38 cm, (firm) papery, base truncate or hastate, apex abruptly narrowed and elongated acute, rachis scaly as distal portion of stipe; pinnae 6-9 pairs, alternate or lower 1(-5) pairs opposite, with to 2 cm stalk, spreading; lowest pinnae hastate, 19-26 × 12-15 cm, base rounded, apex abruptly narrowed and acuminate; primary pinnules ca. 24 pairs, shortly stalked, contiguous, lanceolate or distally slightly falcate, proximal 1(or 2) pairs elongated (12-15 × 2-3 cm), base rounded, apex acuminate; secondary pinnules ca. 17 pairs, shortly stalked or sessile, contiguous, oblong, ca. 1.7 × 0.7 cm, base acroscopically obliquely truncate and auriculate, basiscopically cuneate, apex acute, margin serrate or pinnatifid, aristate; upper 2(or 3) pinnae with proximal pairs of pinnules longer, others gradually reduced and linear-lanceolate; axes and veins of ultimate segments with brown linear-subulate and denticulate-based scales and sometimes with short multicellular hairs along veins abaxially. Sori terminal on veinlets, 5 or 6 pairs per ultimate pinnule, medial between midvein and margin, or closer to midvein; indusia dark brown, firmly membranous, ciliate or erose when immature, fugacious.
200004306 | ● Slopes in broad-leaved forests, thickets on shaded slopes, arid open forests; 800-1500(-2100) m. S Yunnan.
242303827 | 长羽复叶耳蕨 chang yu fu ye er jue 
242303827 | Arachniodes pseudolongipinna Ching.
242303827 | Rhizome shortly creeping, stiff, densely scaly; scales blackish brown, linear-lanceolate, ca. 5 × 0.5-1.5 mm, attenuate and hairlike at apex, firmly membranous and spreading. Fronds approximate, 70-85 cm; stipe stramineous, 30-45 cm, 3-5 mm in diam., base with scales similar to those on rhizome, upward with dark brown subulate and remotely denticulate-based appressed scales; lamina 2- or 3-pinnate, dull greenish when dried, oblong, 40-45 × 20-25 cm, papery, base cuneate, apex abruptly narrowed and elongated caudate-acuminate as a terminal pinna, rachis scaly as distal portion of stipe; lateral pinnae 4-6 pairs, alternate or lower 1(or 2) pairs opposite, with to 1 cm stalk, obliquely spreading, remote; lowest pinnae deltoid or linear-lanceolate, ca. 23 × 4-8 cm, base broadly cuneate, apex acuminate; primary pinnules ca. 30 pairs, contiguous, shortly stalked, linear-lanceolate, or oblong and subfalcate, ca. 3 × 0.7 cm, base acroscopically truncate and basiscopically cuneate, apex obtuse or acute, margin pinnatifid or serrate, aristate, sometimes basal pair or only basiscopic one elongated to 8 × 2 cm and pinnate; secondary pinnules shortly stalked or sessile, oblong and slightly falcate, ca. 6 × 3 mm; upper pinnae linear-lanceolate, terminal pinna 21-25 × ca. 5 cm; axes and veins of ultimate segments with minute dark brown, broad-based, and denticulate-margined subulate scales abaxially. Sori small, terminal on veinlets, 6-8 pairs per ultimate pinnule, medial between midvein and margin or closer to midvein; indusia brown, firmly papery, entire or erose.
242303827 | ● Forests; 1000-1100 m. Guangxi (Lingyun).
242303835 | 毛枝蕨 mao zhi jue 
242303835 | Aspidium miquelianum Maximowicz ex Franchet & Savatier, Enum. Pl. Jap. 240, 634. 1876; Arachniodes borealis Serizawa; Aspidium fargesii Christ; Dryopteris fargesii (Christ) C. Christensen; D. miqueliana (Maximowicz ex Franchet & Savatier) C. Christensen; Leptorumohra fargesii (Christ) Nakaike & Yamato; L. miqueliana (Maximowicz ex Franchet & Savatier) H. Itô; Nephrodium miquelianum (Maximowicz ex Franchet & Savatier) Komarov; Polystichopsis miqueliana (Maximowicz ex Franchet & Savatier) Tagawa; Rumohra miqueliana (Maximowicz ex Franchet & Savatier) Ching.
242303835 | Rhizome long creeping, densely clothed with brown lanceolate scales along growing parts. Fronds 0.6-1 m; stipe ochraceous, 32-62 cm, 5-6 mm in diam., copiously scaly throughout, scales similar to those on rhizome; lamina 4-pinnate, dull green to yellowish green when dried, deltoid-pentagonal, 35-52 × 26-35 cm, herbaceous, apex acuminate, rachis scaly as stipe; pinnae 6-10 pairs, alternate, obliquely spreading; lowest pinnae deltoid-ovate, 29-32 × 22-25 cm, apex acuminate; primary pinnules ca. 18 pairs, obliquely spreading, deltoid-lanceolate, basal basiscopic one ca. 15 × 7 cm; secondary pinnules 6 or 7 pairs, stalked, blunt deltoid to oblong, ca. 3.5 × 2.5 cm, base broadly cuneate, apex obtuse; tertiary pinnules 3 or 4 pairs, ovate or rhombic, to 1.2 × 0.9 cm, apex obtuse or acute, margin deeply pinnatifid to obtusely serrate; upper pinnae gradually reduced; axes and main veins adaxially with pale gray unicellular acicular hairs, veins abaxially with scattered brown, bullate and ovate scales. Sori 1-3 per ultimate segment; indusia brown, entire.
242303835 | Broad-leaved or mixed forests, terrestrial or occasionally on shaded wet and moss-covered rock surfaces; 400-1300(-1700) m. Anhui, Guizhou, Jiangxi, Jilin, WC Sichuan, N Yunnan, Zhejiang [Japan, Korea].
250098601 | 长叶黔蕨 chang ye qian jue 
250098601 | Dryopteris neopodophylla Ching, Bull. Fan Mem. Inst. Biol., Bot. 8: 401. 1938; Phanerophlebiopsis neopodophylla (Ching) Ching ex Y. T. Hsieh.
250098601 | Rhizome thick, creeping, or upper part ascending, densely clothed with blackish brown, linear-lanceolate scales. Fronds 47-86 cm; stipe stramineous, 24-60 cm, to 5 mm in diam., base with scales similar to those on rhizome, glabrescent upward; lamina 1-pinnate, turning gray when dried, glabrous but dull adaxially, ovate-oblong, 23-34 × 16-24 cm, papery, apex ending with a terminal pinna, rachis glabrescent; lateral pinnae 5-8 pairs, alternate or lowest pair opposite, obliquely spreading, stalked, linear-lanceolate, 8-17 × 1.4-2.8 cm, base narrowly cuneate to cuneate, apex acuminate to shortly caudate, margin with short coarse teeth, each tooth with 2-4 cartilaginous aristate tips; terminal pinna conform or sometimes slightly larger; veins pinnate, veinlets 2 or 3 pairs on each set of lateral veins, veinlets simple or forked, visible on both surfaces, bearing sparse brown or blackish hairlike scales abaxially. Sori in 2 or 3 rows on both sides of midvein of ultimate segment, for row next to midvein sori subterminal on veinlets, otherwise dorsal on middle or proximal part of veinlets; indusia brown, membranous, and fugacious.
250098601 | ● Forested valleys; 800-1300 m. Guizhou.
200004310 | 黑鳞复叶耳蕨 hei lin fu ye er jue 
200004310 | Polystichum nigrospinosum Ching, Bull. Fan Mem. Inst. Biol. 2: 191. 1931; Rumohra nigrospinosa (Ching) Ching.
200004310 | Rhizome shortly creeping, stiff, apex densely scaly; scales coal-black, broadly lanceolate or lanceolate, to 12 × 1-2.5 mm, firm, thick, apex attenuate and hairlike. Fronds approximate, 0.8-1.2 m; stipe dull amber, 45-65 cm, 3-6(-8) mm in diam., base densely scaly as rhizome, upward with similar but smaller blackened scales; lamina 4-pinnate, dark green when dried, oblong-ovate, 35-55 × 28-32 cm, thinly herbaceous, base cuneate or rounded, apex acuminate, rachis scaly as distal portion of stipe; pinnae ca. 15 pairs, stalked, alternate, obliquely spreading, contiguous; lowest pinnae deltoid-lanceolate, to 25 × 15 cm, base broadly cuneate, apex prolonged-acuminate; primary pinnules ca. 15 pairs, stalked, lanceolate or oblong, basal basiscopic ones larger (to 14 × 4.5 cm), base cuneate, apex acuminate; secondary pinnules shortly stalked, ovate-oblong, to 3 × 1.5 cm, base cuneate, apex obtuse; tertiary pinnules ovate-oblong or oblong-rhombic, 8-10 × 5-6 mm, acroscopic base wider with poorly developed auriculate tip, basiscopic base cuneate, apex obtuse or acute, margin coarsely serrate or pinnatifid, lobes sharpened at apex, margins with 1(or 2) pairs of short teeth with poorly developed mucronate tip; upper pinnae gradually reduced; axes and veins of ultimate segments with a few minute blackish brown subulate scales abaxially. Sori small, terminal on veinlets, 1-3 pairs per ultimate pinnule, medial between midvein and margin; indusia dark brown, papery, entire.
200004310 | ● In ravines, on shaded wet rocks, forests; 500-1500 m. Guangdong, Guangxi, Guizhou, Taiwan.
200004311 | 贵州复叶耳蕨 gui zhou fu ye er jue 
200004311 | Polystichum nipponicum Rosenstock, Repert. Spec. Nov. Regni Veg. 13: 190. 1914; Arachniodes anshunensis Ching & Y. T. Hsieh; A. gongshanensis Ching & Y. T. Hsieh; Byrsopteris nipponica (Rosenstock) Sa. Kurata; Polystichopsis nipponica (Rosenstock) Tagawa; Rumohra nipponica (Rosenstock) Ching.
200004311 | Rhizome creeping, succulent at growing apex, 1-2.5 cm in diam., densely scaly; scales pale or reddish brown, ovate-lanceolate or lanceolate, to 7 × 1-2.5 mm, apically attenuate, thin and soft. Fronds remote or proximate, 0.7-1.5 m; stipe ochraceous or amber, 36-75 cm, 4-8 mm in diam., base scaly as rhizome, upward scales diminishing to glabrescent; lamina 3(or 4)-pinnate, lustrous yellowish green when dried, oblong-lanceolate or ovate-oblong, 40-75 × 25-45 cm, often thickly papery and flexible, base rounded-cuneate, apex acuminate or slightly attenuate, rachis glabrescent; pinnae 6-8(-10) pairs, alternate or lowest 1 or 2 pairs opposite, with to 2 cm stalk, obliquely spreading; lowest pinnae deltoid-lanceolate, 18-35 × ca. 10 cm, base rounded-cuneate, apex acuminate; primary pinnules 12-17 pairs, proximal ones with to 8 mm stalk, lanceolate, (basal basiscopic one 6-8 × 2-3 cm), base rounded-cuneate, apex acuminate, larger fronds with proximal 1-3 pairs of primary pinnules 2-pinnate; secondary pinnules shortly stalked or sessile, oblong, ca. 1.5 × 0.7 cm, base cuneate, apex acute, margin sharply dentate or pinnatifid, with mucronate teeth; upper pinnae gradually reduced; axes and veins of ultimate segments with brown, appressed, articulate hairs, and with a few minute brown ovate-based or linear scales abaxially. Sori terminal on veinlets, 2 or 3 pairs per ultimate segment, medial between midvein and margin; indusia pale brown, membranous, and entire.
200004311 | Slopes by streams in broad-leaved forests or in shaded valleys, sometimes in coniferous forests or bamboos; 700-2300(-2800) m. Chongqing, Guangdong, Guizhou, Hunan, Jiangxi, Sichuan, Yunnan, Zhejiang [Japan].
200004311 | Specimens from Guizhou and Yunnan are much larger in size than Japanese ones, and plants distributed in Yunnan occur at ca. 1000 meters higher in elevation.
250098606 | 假西南复叶耳蕨 jia xi nan fu ye er jue 
250098606 | Rhizome creeping, succulent at growing apex, moderately scaly; scales pale brown, broadly lanceolate, thin and soft. Fronds remote or approximate, to 1 m; stipe ochraceous, 40-60 cm, 2.5-3 mm in diam., base scaly as rhizome, upward glabrescent; lamina 2-pinnate, brownish green when dried, ovate-oblong, ca. 40 × 25 cm, papery, glabrescent on both surfaces, base broadly cuneate, apex abruptly narrowed and forming an acuminate subconform terminal pinna, rachis glabrescent; lateral pinnae ca. 4 pairs, alternate or lower 1 or 2 pairs opposite, with to 2 cm stalk, obliquely spreading, lanceolate; lowest pinnae to 20 × 6-7 cm, base rounded-cuneate, apex acuminate; (primary) pinnules ca. 22 pairs, proximal ones shortly stalked, spreading, rhombic-oblong, to 4 × 1.3 cm, base acroscopically truncate and auriculate, basiscopically cuneate, apex obtuse or acute, margin coarsely serrate or pinnatifid, lobes or teeth sharply tipped or mucronate; terminal pinna to 20 × 10 cm, with ca. 12 spreading and acroscopically pinnatifid pinnules. Sori small, terminal on veinlets, 1-4 pairs per ultimate segment, medial between midvein and margin; indusia brown, firmly membranous, and entire.
250098606 | ● Dense broad-leaved forests; (500-)1000-1300 m. Yunnan (Xishuangbanna).
250098606 | This species is intermediate between Arachniodes assamica and A. hekiana in appearance, but it differs from the former by the caudate terminal pinna, and from the latter by the much broader pinnae and firmer texture.
242412211 | 四回毛枝蕨 si hui mao zhi jue 
242412211 | Microlepia quadripinnata Hayata, J. Coll. Sci. Imp. Univ. Tokyo 30: 434. 1911; Dryopteris quadripinnata (Hayata) Hayata; Leptorumohra quadripinnata (Hayata) H. Itô; Rumohra quadripinnata (Hayata) Ching.
242412211 | Rhizome long creeping, bearing brown ovate-lanceolate scales. Fronds 0.8-1 m; stipe purplish brown at base, upward gradually ochraceous or stramineous, 20-60 cm, 2-5 mm in diam., glabrescent or with a few scales similar to those on rhizome; lamina 4- or 5-pinnate, brownish green when dried, pentagonal-ovate, 29-48 × 27-40 cm, herbaceous, abruptly narrowed toward apex and acuminate, rachis glabrescent; pinnae ca. 10 pairs, alternate, obliquely spreading; lowest pinnae ovate-lanceolate, 16-28 × 8-16 cm, apex acuminate; primary pinnules 8-10 pairs, ovate-lanceolate, 5-13 × 2.5-6 cm (basal basiscopic one largest), apex acuminate; secondary pinnules ca. 12 pairs, shortly stalked, ovate-lanceolate, to 3.5 × 1.2 cm; tertiary pinnules 6 or 7 pairs, ovate-oblong, to 1 × 0.5 cm, basal acroscopic one largest, margin pinnatifid or coarsely serrate, or pinnatisect in 5-pinnate lamina; upper pinnae gradually reduced; axes and main veins adaxially with pale gray unicellular acicular hairs, veins abaxially with sparse linear-lanceolate or hairlike, flat-based scales. Sori small, 1-4 per ultimate segment, medial between main vein and margin; indusia brown, margin entire to acicular ciliate.
242412211 | On rather damp ground in broad-leaved or coniferous forests, especially in shaded places by streams, also in wet thickets; 1600-2700(-3000) m. Anhui, Guangxi, Guizhou, Jiangxi, Sichuan, Taiwan, Yunnan [Japan].
242303860 | 相似复叶耳蕨 xiang si fu ye er jue 
242303860 | Rhizome creeping, succulent at growing apex, moderately scaly; scales pale brown, linear-lanceolate, thin and soft. Fronds remote, 90-100 cm; stipe ochraceous, 45-50 cm, ca. 5 mm in diam., base scaly as rhizome, upward glabrescent, occasionally with a few pale brown curved threadlike scales; lamina 2-pinnate, dull green when dried, oblong, 50-60 × 20-25 cm, thickly papery, base cuneate, apex abruptly narrowed, with a conform terminal pinna, rachis glabrescent; pinnae 7 or 8 pairs, with 1-1.5 cm stalk, alternate, strongly ascending (forming an angle of less than 30 degrees with rachis); lower 3 or 4 pairs of pinnae similar in shape and size, lanceolate, ca. 19 × 3.5 cm, base almost equally sided, broadly cuneate, apex acuminate; pinnules ca. 22 pairs, shortly stalked, spreading, subimbricate, broadly rhombic, ca. 2 × 1 cm, base acroscopically slightly auriculate, basiscopically truncate, apex acute, margin serrate with mucronate teeth; upper pinnae slightly shorter, terminal pinna ca. 19 × 4 cm; axes, pinna, and pinnules (and veins as well) with sparse brown threadlike scales abaxially. Sori large, terminal on veinlets, 5 or 6 pairs per ultimate segment, medial between midvein and margin; indusia brown, firmly membranous, hairy on dorsal surface, margin entire.
242303860 | ● Forested slopes; (500-)700-800 m. Guangdong (Heyuan), SW Zhejiang.
200004314 | 长尾复叶耳蕨 chang wei fu ye er jue 
200004314 | Aspidium aristatum (G. Forster) Swartz var. simplicior Makino, Bot. Mag. (Tokyo) 15: 65. 1901; Arachniodes aristatissima Ching; A. calcarata Ching; A. fujianensis Ching ["fujiangensis"]; A. jiulungshanensis Ching; A. liyangensis Ching & Y. C. Lan; A. parasimplicior Ching ex Y. T. Hsieh; A. tibetana Ching & S. K. Wu; A. yasu-inouei Sa. Kurata; Byrsopteris simplicior (Makino) Sa. Kurata; Polystichopsis simplicior (Makino) Tagawa; Polystichum aristatum (G. Forster) C. Presl var. simplicior (Makino) Matsumura; P. simplicior (Makino) Tagawa; Rumohra simplicior (Makino) Ching.
200004314 | Rhizome shortly creeping, stiff, apex densely scaly; scales (reddish or dark) brown, linear-lanceolate or subulate, ca. 8 × 0.5-1.5 mm, base often remotely fimbriate, apex hairlike and often tortuous, firmly membranous. Fronds approximate, 0.4-1.1 cm; stipe stramineous, 20-65 cm, ca. 3 mm in diam., base with scales similar to those on rhizome, scales sparser upward, or rarely glabrescent; lamina (2 or)3-pinnate, pale green when dried, ovate-oblong, deltoid-ovate, or pentagonal, 20-60 × 15-40 cm, firmly papery or leathery, base rounded, cordate, or hastate, apex abruptly caudate with a stalked conform terminal pinna, rachis sparsely scaly as distal portion of stipe, or glabrescent throughout; lateral pinnae 2-5(or 6) pairs, alternate or lowest pair opposite, with to 2.5 cm stalk, obliquely spreading; lowest pinnae obliquely deltoid, to 28 × 15 cm, base broadly cuneate, apex caudate-acuminate; primary pinnules ca. 20 pairs, with to 1 cm stalk, basal pair elongated (basiscopic one longer, to 15 × 2.2 cm), lanceolate, base cuneate, apex acuminate, pinnate, larger fronds with proximal 2 pairs of pinnules elongated and pinnate; secondary pinnules shortly stalked or sessile, oblong or larger ones slightly falcate, ca. 1.5 × 0.6 cm, base acroscopically truncate and auriculate, basiscopically cuneate, apex acute, margin sharply serrate (or shallowly pinnatifid), aristate; upper 1-3 pairs of pinnae with basal pair of pinnules elongated, other lateral pinnae shorter and lanceolate; axes and veins of ultimate segments with minute (dark) brown subulate appressed scales abaxially. Sori terminal on veinlets, 1-6 pairs per ultimate segment, medial between midvein and margin or closer to margin; indusia (dark) brown, membranous, entire. 2n = 82*.
200004314 | Wet slopes in broad-leaved forests or bamboos, on wet rocks or cliffs (in crevices) by streams, thickets mixed with grasses, open places near forests; 200-1800 m. Anhui, Chongqing, Fujian, SE Gansu, Guangxi, Guizhou, Henan, Hubei, Hunan, Jiangsu, Jiangxi, S Shaanxi, Sichuan, SW Xizang, Yunnan, Zhejiang [Japan].
200004315 | 华西复叶耳蕨 hua xi fu ye er jue 
200004315 | Rumohra simulans Ching, Sinensia 5: 54. 1934; Arachniodes cantilenae Sa. Kurata; A. centrochinensis Ching; A. chingii Y. T. Hsieh; A. dayaoensis Y. T. Hsieh; A. decomposita Ching; A. elevatas Ching; A. gizushanensis Ching; A. guanxianensis Ching; A. jiangxiensis Ching; A. jinfoshanensis Ching; A. lushuiensis Y. T. Hsieh; A. pianmaensis Ching; A. yinjiangensis Ching; A. yunnanensis Ching.
200004315 | Rhizome creeping, succulent at growing apex, 1-3 cm in diam., densely scaly; scales pale brown, ovate-lanceolate or lanceolate, to 8 × 1-2 mm, apically attenuate or hairlike, thin and soft. Fronds remote or approximate, 0.7-1.2(-1.4) m; stipe stramineous, 38-60 cm, 4-6 mm in diam., base and lower part densely scaly as rhizome, upward scales diminishing to glabrescent; lamina (3 or)4(or 5)-pinnate, dull pale green when dried, ovate-deltoid, 32-60 × 25-40 cm, firmly herbaceous or papery, base rounded or cordate, apex acuminate (or attenuate), rachis glabrescent or sparsely with linear scales; pinnae ca. 10 pairs, alternate, with to 3 cm stalk, obliquely spreading; lowest pinnae deltoid-lanceolate, to 35 × 18 cm, base rounded-cuneate, apex acuminate; primary pinnules ca. 16 pairs, with to 1.2 cm stalk, lanceolate, (basal basiscopic ones slightly longer, to 14 × 4 cm), base broadly cuneate, apex acuminate; secondary pinnules with to 0.5 cm stalk, deltoid-oblong or distally oblong-lanceolate, base cuneate, apex acuminate or obtuse; tertiary (and quaternary) pinnules shortly stalked or sessile, ovate-oblong or rhombic, ca. 1 × 0.5 cm, base acroscopically cuneate and slightly auriculate, basiscopically cuneate, apex acute or obtuse, margin sharply serrate often with aristate teeth; upper pinnae gradually reduced; axes and veins of ultimate segments with sparse minute brown lanceolate and ± appressed linear scales abaxially. Sori terminal on veinlets, 1-4(-6) pairs per ultimate segment, submarginal; indusia brown, membranous, ciliate or erose, often fugacious.
200004315 | Slopes in forests or bamboos, on shaded wet rocks, valleys, thickets or under shrubs by streams; (500-)900-2300(-2800) m. Anhui, Chongqing, SE Gansu, Guizhou, Hubei, Hunan, Jiangxi, S Shaanxi, Sichuan, Yunnan [Bhutan, India, Japan].
242303862 | 无鳞毛枝蕨 wu lin mao zhi jue 
242303862 | Rumohra sinomiqueliana Ching, Sinensia 5: 65. 1934 ["sino-miqueliana"]; Arachniodes quadripinnata (Hayata) Serizawa subsp. fimbriata (Koidzumi) Serizawa; Dryopteris miqueliana (Maximowicz ex Franchet & Savatier) C. Christensen var. fimbriata Koidzumi; Leptorumohra sinomiqueliana (Ching) Tagawa; Polystichopsis sinomiqueliana (Ching) Tagawa.
242303862 | Rhizome long creeping, with shiny castaneous lanceolate scales. Fronds 45-80 cm; stipe stramineous, 25-40 cm, 2-4 mm in diam., base with scales similar to those on rhizome, upward with a few dull brown lanceolate scales, or glabrescent; lamina 3-pinnate-pinnatifid, shiny or yellowish green when dried, deltoid-pentagonal, 23-40 × 16-30 cm, herbaceous, long acuminate toward apex, rachis glabrescent; pinnae ca. 15 pairs, alternate or lowest pair opposite, obliquely spreading; lowest pinnae ovate-lanceolate, 12-25 × 9-12 cm; primary pinnules ca. 15 pairs, stalked, deltoid-lanceolate, to 4.5 × 2 cm (basal basiscopic one largest), apex obtuse; secondary pinnules 5 or 6 pairs, oblong, ca. 1.4 × 0.6 cm, base obliquely cuneate, margin deeply pinnatifid; lobes 2-4 pairs, basal acroscopic one almost free, oblong, apex with 2 or 3 blunt teeth; upper pinnae gradually reduced; axes and main veins adaxially with pale gray unicellular acicular hairs, veins abaxially with a few appressed and narrowly lanceolate, flat-based scales. Sori small, 2-4 per ultimate segment; indusia brown, margin acicular ciliate.
